itemId,parentItemId,salePrice,upc,categoryPath,thumbnailImage,mediumImage,largeImage,categoryNode
179807165,179807165,469.0,192545382540,Electronics/Computers/Laptops/Shop Laptops by Type/Touchscreen Laptops,https://i5.walmartimages.com/asr/730c7807-89f9-4c05-808e-1e71bf4bab45_1.363f9f5fe9f9b9bad01458c58a02e44d.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,https://i5.walmartimages.com/asr/730c7807-89f9-4c05-808e-1e71bf4bab45_1.363f9f5fe9f9b9bad01458c58a02e44d.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://i5.walmartimages.com/asr/730c7807-89f9-4c05-808e-1e71bf4bab45_1.363f9f5fe9f9b9bad01458c58a02e44d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,3944_3951_1089430
322570741,322570741,639.0,192545383455,Electronics/Computers/Laptops/Shop Laptops by Type/Touchscreen Laptops,https://i5.walmartimages.com/asr/a5ec9c67-9a09-4358-b9b7-e5632a163efa_2.e944bb177c3c721783546e9f579075fb.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,https://i5.walmartimages.com/asr/a5ec9c67-9a09-4358-b9b7-e5632a163efa_2.e944bb177c3c721783546e9f579075fb.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://i5.walmartimages.com/asr/a5ec9c67-9a09-4358-b9b7-e5632a163efa_2.e944bb177c3c721783546e9f579075fb.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,3944_3951_1089430
468473528,468473528,239.0,191114154328,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,https://i5.walmartimages.com/asr/9f6e5577-aaf6-4f79-a234-0747c5f59848_1.af2853f40315337896c61ccf3823f6f0.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,https://i5.walmartimages.com/asr/9f6e5577-aaf6-4f79-a234-0747c5f59848_1.af2853f40315337896c61ccf3823f6f0.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://i5.walmartimages.com/asr/9f6e5577-aaf6-4f79-a234-0747c5f59848_1.af2853f40315337896c61ccf3823f6f0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,3944_3951_1089430
700792078,700792078,559.0,192545383752,Electronics/Computers/Laptops/Shop Laptops by Type/Touchscreen Laptops,https://i5.walmartimages.com/asr/730c7807-89f9-4c05-808e-1e71bf4bab45_1.363f9f5fe9f9b9bad01458c58a02e44d.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,https://i5.walmartimages.com/asr/730c7807-89f9-4c05-808e-1e71bf4bab45_1.363f9f5fe9f9b9bad01458c58a02e44d.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://i5.walmartimages.com/asr/730c7807-89f9-4c05-808e-1e71bf4bab45_1.363f9f5fe9f9b9bad01458c58a02e44d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,3944_3951_1089430
885628763,885628763,242.73,190781424000,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,https://i5.walmartimages.com/asr/68e41a0e-a2fb-4364-a3dc-b32b785fc790_1.4bb7cfeafb1a69b5606c2d5050ae7443.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,https://i5.walmartimages.com/asr/68e41a0e-a2fb-4364-a3dc-b32b785fc790_1.4bb7cfeafb1a69b5606c2d5050ae7443.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://i5.walmartimages.com/asr/68e41a0e-a2fb-4364-a3dc-b32b785fc790_1.4bb7cfeafb1a69b5606c2d5050ae7443.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,3944_3951_1089430
499099611,499099611,349.0,192563997221,Electronics/Computers/Laptops/Laptops By Brand/Lenovo Laptops,https://i5.walmartimages.com/asr/87722254-96e9-4513-b846-bc1cde313c4e_2.3cf1137e17ff3cd49c5088ff3f9d27d2.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,https://i5.walmartimages.com/asr/87722254-96e9-4513-b846-bc1cde313c4e_2.3cf1137e17ff3cd49c5088ff3f9d27d2.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://i5.walmartimages.com/asr/87722254-96e9-4513-b846-bc1cde313c4e_2.3cf1137e17ff3cd49c5088ff3f9d27d2.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,3944_3951_1089430
822597407,822597407,499.0,192018968349,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,https://i5.walmartimages.com/asr/c9095299-7506-4645-bb8e-e4737741733b_2.4072d3c1567b43730486fa9076188734.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,https://i5.walmartimages.com/asr/c9095299-7506-4645-bb8e-e4737741733b_2.4072d3c1567b43730486fa9076188734.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://i5.walmartimages.com/asr/c9095299-7506-4645-bb8e-e4737741733b_2.4072d3c1567b43730486fa9076188734.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,3944_3951_1089430
139270579,139270579,279.0,192545103398,Electronics/Computers/Laptops/Laptops By Brand/HP Laptops,https://i5.walmartimages.com/asr/6e76c0dd-4cf9-496d-aa9e-078cc649ce9f_1.c3baf90e57b94a2b56b784afcff764f0.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,https://i5.walmartimages.com/asr/6e76c0dd-4cf9-496d-aa9e-078cc649ce9f_1.c3baf90e57b94a2b56b784afcff764f0.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://i5.walmartimages.com/asr/6e76c0dd-4cf9-496d-aa9e-078cc649ce9f_1.c3baf90e57b94a2b56b784afcff764f0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,3944_3951_1089430
55731619,55731619,319.99,191545914829,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,https://i5.walmartimages.com/asr/351418ea-2da6-4e89-bcf0-3b59d85dea4d_1.2d261da7177c7653c27785d84c8729d3.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,https://i5.walmartimages.com/asr/351418ea-2da6-4e89-bcf0-3b59d85dea4d_1.2d261da7177c7653c27785d84c8729d3.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://i5.walmartimages.com/asr/351418ea-2da6-4e89-bcf0-3b59d85dea4d_1.2d261da7177c7653c27785d84c8729d3.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,3944_3951_1089430
937522935,937522935,443.0,190781885658,Electronics/Computers/Laptops/Laptops By Brand/HP Laptops,https://i5.walmartimages.com/asr/58dcb872-b0d2-41cb-b881-d7e1955b5d73_2.35ec7d896ec114ddd43c56e61a663784.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,https://i5.walmartimages.com/asr/58dcb872-b0d2-41cb-b881-d7e1955b5d73_2.35ec7d896ec114ddd43c56e61a663784.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://i5.walmartimages.com/asr/58dcb872-b0d2-41cb-b881-d7e1955b5d73_2.35ec7d896ec114ddd43c56e61a663784.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,3944_3951_1089430
